Seq1,Seq2,Distance
HXB2,B|US|AF198039|1993,0.0208845
HXB2,B|US|AF198391|-,0.023957
HXB2,B|US|AF198403|-,0.0241641
HXB2,B|US|AF198406|-,0.0239202
HXB2,B|US|AF198421|-,0.0229951
HXB2,B|US|AF198425|-,0.0198958
HXB2,B|US|AF198428|-,0.0209817
HXB2,B|US|AF198429|-,0.022092
HXB2,B|US|AF198430|-,0.0219487
HXB2,B|US|AF242327|-,0.0228186
HXB2,B|US|AF242338|-,0.0249912
HXB2,B|IT|AF251942|1997,0.0207144
HXB2,B|IT|AF251943|1997,0.0246465
HXB2,B|IT|AF251949|1997,0.00763058
HXB2,B|IT|AF251970|1997,0.023637
HXB2,B|IT|AF251980|1997,0.0246465
HXB2,B|IT|AF251984|1997,0.0234195
HXB2,B|IT|AF252008|-,0.0233059
HXB2,B|IT|AF252012|-,0.0225369
HXB2,B|IT|AF252022|-,0.00983325
HXB2,B|IT|AF252024|-,0.0233706
HXB2,B|IT|AF252088|-,0.0225121
HXB2,B|ES|AF256204|1989,0.0247826
HXB2,B|AU|AF323234|1997,0.0249904
HXB2,B|BE|AF338996|1999,0.0222421
HXB2,B|DE|AF347378|1998,0.0239999
HXB2,B|DE|AF347539|1999,0.0200503
HXB2,B|US|AF349318|-,0.0179996
HXB2,B|US|AF349329|-,0.0242705
HXB2,B|US|AF349344|-,0.0216838
HXB2,B|US|AF349366|-,0.0249312
HXB2,B|US|AF349367|-,0.0227896
HXB2,B|US|AF357644|1998,0.0236967
HXB2,B|US|AF357654|1998,0.0194864
HXB2,B|US|AF357655|1997,0.0246643
HXB2,B|US|AF357658|1998,0.02431
HXB2,B|US|AF357725|1998,0.0204543
HXB2,B|US|AF357735|1998,0.0221218
HXB2,B|US|AF357752|1998,0.0236963
HXB2,B|US|AF357755|1998,0.0195335
HXB2,B|US|AF357756|1998,0.0243059
HXB2,B|US|AF357809|1999,0.0244733
HXB2,B|US|AF357813|1998,0.0243807
HXB2,B|PR|AF373733|-,0.024663
HXB2,B|US|AF373741|-,0.0215634
HXB2,B|IT|AF376540|1997,0.0243536
HXB2,B|IT|AF376541|1997,0.0235916
HXB2,B|IT|AF376551|1997,0.0219396
HXB2,B|IT|AF376562|1997,0.0201439
HXB2,B|IT|AF376594|1997,0.0217894
HXB2,B|IT|AF376600|1997,0.0243879
HXB2,B|IT|AF376609|1997,0.0202665
HXB2,B|IT|AF376627|1997,0.0227522
HXB2,B|IT|AF376647|1997,0.0201945
HXB2,B|IT|AF376648|1997,0.02363
HXB2,B|IT|AF376654|1997,0.0208927
HXB2,B|IT|AF376663|1997,0.0234376
HXB2,B|IT|AF376676|1997,0.0235836
HXB2,B|IT|AF376694|1997,0.0194859
HXB2,B|IT|AF376709|1997,0.0210692
HXB2,B|US|AF395344|-,0.0228538
HXB2,B|US|AF395353|-,0.0208035
HXB2,B|US|AF395358|-,0.0168047
HXB2,B|US|AF395359|-,0.0245113
HXB2,B|US|AF395362|-,0.0236126
HXB2,B|US|AF395366|-,0.0179187
HXB2,B|US|AF395369|-,0.0227924
HXB2,B|US|AF395374|-,0.0235112
HXB2,B|US|AF395380|-,0.0244202
HXB2,B|US|AF395388|-,0.0177168
HXB2,B|US|AF395389|-,0.0217828
HXB2,B|US|AF395390|-,0.0174553
HXB2,B|US|AF395397|-,0.0232974
HXB2,B|US|AF395399|-,0.0244252
HXB2,B|US|AF395403|-,0.0159261
HXB2,B|CU|AF425465|1999,0.0235026
HXB2,B|CU|AF425474|1999,0.0213369
HXB2,B|US|AF427231|1999,0.0240924
HXB2,B|US|AF427235|1999,0.0165281
HXB2,B|US|AF427278|1999,0.0234983
HXB2,B|US|AF427286|2000,0.0241266
HXB2,B|US|AF427295|1999,0.020074
HXB2,B|US|AF427298|1999,0.0241048
HXB2,B|US|AF447848|1991,0.0234069
HXB2,B|AR|AF456616|-,0.0204557
HXB2,B|AR|AF456651|-,0.0239008
HXB2,B|AR|AF456722|-,0.0239652
HXB2,B|US|AF459102|-,0.0222384
HXB2,B|US|AF459114|-,0.0211587
HXB2,B|US|AF459117|-,0.0179396
HXB2,B|US|AF459122|-,0.024332
HXB2,B|US|AF459129|-,0.0222837
HXB2,B|US|AF459134|-,0.0190626
HXB2,B|US|AF459137|-,0.0031291
HXB2,B|US|AF459139|-,0.0136981
HXB2,B|US|AF459141|-,0.0137007
HXB2,B|US|AF459147|-,0.0136923
HXB2,B|US|AF459149|-,0.0233269
HXB2,B|US|AF459154|-,0.00312259
HXB2,B|US|AF459155|-,0.0222235
HXB2,B|US|AF459156|-,0.00732388
HXB2,B|US|AF459161|-,0.0125761
HXB2,B|US|AF459162|-,0.0125911
HXB2,B|US|AF459163|-,0.0115482
HXB2,B|US|AF459187|-,0.0233754
HXB2,B|US|AF459191|-,0.0222213
HXB2,B|US|AF459203|-,0.0245027
HXB2,B|US|AF459209|-,0.0222407
HXB2,B|FR|AF487122|1992,0.0155691
HXB2,B|GB|AF494124|-,0.0201634
HXB2,B|GB|AF494126|-,0.0224946
HXB2,B|IT|AF517255|-,0.0208731
HXB2,B|IT|AF517266|-,0.0219667
HXB2,B|IT|AF517290|-,0.0218595
HXB2,B|IT|AF517292|-,0.023181
HXB2,B|AU|AF538303|1999,0.0247685
HXB2,B|DK|AJ419469|2000,0.022022
HXB2,B|DK|AJ419521|2000,0.0178489
HXB2,B|DK|AJ419522|2000,0.0201138
HXB2,B|FR|AJ577726|2000,0.0243604
HXB2,B|FR|AJ577741|2001,0.0227971
HXB2,B|FR|AJ577871|2002,0.0243275
HXB2,B|FR|AJ577874|2000,0.0168818
HXB2,B|FR|AJ577962|2002,0.0241061
HXB2,B|DK|AJ582143|-,0.0171136
HXB2,B|DK|AJ582146|-,0.0242777
HXB2,B|DK|AJ582147|-,0.0234547
HXB2,B|DK|AJ582153|-,0.0243073
HXB2,B|DK|AJ582156|-,0.0212934
HXB2,B|DK|AJ582157|-,0.0212778
HXB2,B|SI|AJ971112|2000,0.0222032
HXB2,B|GL|AM285257|2000,0.0208147
HXB2,B|DK|AM933276|1997,0.0222651
HXB2,B|DK|AM933287|2000,0.0219184
HXB2,B|US|AY002059|-,0.0239065
HXB2,B|US|AY002350|-,0.0218465
HXB2,B|US|AY003336|-,0.0229011
HXB2,B|US|AY003364|-,0.0249985
HXB2,B|US|AY030432|1997,0.023078
HXB2,B|US|AY030437|1997,0.0215464
HXB2,B|US|AY030442|1997,0.024139
HXB2,B|US|AY030444|1997,0.0220735
HXB2,B|US|AY030449|1997,0.0227448
HXB2,B|US|AY030457|1997,0.0228248
HXB2,B|US|AY030483|1997,0.0242624
HXB2,B|US|AY030501|1997,0.0239696
HXB2,B|US|AY030537|1998,0.0235217
HXB2,B|US|AY030538|1998,0.0200826
HXB2,B|US|AY030576|1998,0.0220059
HXB2,B|US|AY030589|1998,0.0220019
HXB2,B|US|AY030654|1998,0.0249478
HXB2,B|US|AY030686|1998,0.022396
HXB2,B|US|AY030702|1998,0.0233021
HXB2,B|US|AY030760|1998,0.0247403
HXB2,B|US|AY030793|1998,0.0229986
HXB2,B|US|AY030845|1998,0.0238562
HXB2,B|US|AY030867|1999,0.0182036
HXB2,B|US|AY030880|1999,0.0239083
HXB2,B|US|AY030886|1999,0.0187804
HXB2,B|US|AY030930|1999,0.0222647
HXB2,B|US|AY030951|1998,0.0217867
HXB2,B|US|AY031011|1999,0.0218346
HXB2,B|US|AY031016|1999,0.0205232
HXB2,B|US|AY031048|1999,0.0239008
HXB2,B|US|AY031075|1999,0.0215289
HXB2,B|US|AY031109|1999,0.0214406
HXB2,B|US|AY031111|1999,0.0183398
HXB2,B|US|AY031131|1999,0.0214397
HXB2,B|US|AY031134|1999,0.0229985
HXB2,B|US|AY031166|1999,0.0247916
HXB2,B|US|AY031185|1999,0.0205749
HXB2,B|US|AY031224|1999,0.0213836
HXB2,B|US|AY031234|1999,0.0221941
HXB2,B|US|AY031235|1999,0.0232916
HXB2,B|US|AY031239|1999,0.02317
HXB2,B|US|AY031242|1999,0.0179378
HXB2,B|US|AY031290|1999,0.0216505
HXB2,B|US|AY031294|1999,0.0230665
HXB2,B|US|AY031304|1999,0.0249244
HXB2,B|US|AY031316|1999,0.0205621
HXB2,B|US|AY031348|1999,0.024056
HXB2,B|US|AY031361|1999,0.0209846
HXB2,B|US|AY031380|1999,0.0247228
HXB2,B|US|AY031421|1999,0.024834
HXB2,B|US|AY031435|1999,0.0246854
HXB2,B|US|AY031436|1999,0.0163353
HXB2,B|US|AY031445|1999,0.0231173
HXB2,B|US|AY031465|1999,0.0214071
HXB2,B|US|AY031468|1999,0.0249954
HXB2,B|US|AY031470|1999,0.0240156
HXB2,B|US|AY031492|1999,0.024122
HXB2,B|US|AY031505|1999,0.0230255
HXB2,B|US|AY031524|1999,0.0207338
HXB2,B|US|AY031537|1999,0.0235813
HXB2,B|US|AY031541|1999,0.0162414
HXB2,B|US|AY031545|1999,0.0247424
HXB2,B|US|AY031553|1999,0.0213222
HXB2,B|US|AY031562|1999,0.0216772
HXB2,B|US|AY031578|1999,0.0187478
HXB2,B|US|AY031608|1999,0.0246896
HXB2,B|US|AY031625|1999,0.015368
HXB2,B|US|AY031627|1999,0.0219501
HXB2,B|US|AY031629|1999,0.0239557
HXB2,B|US|AY031696|1999,0.0214534
HXB2,B|US|AY031718|2000,0.0249954
HXB2,B|US|AY031733|1999,0.0244662
HXB2,B|US|AY031748|1999,0.0216974
HXB2,B|US|AY031752|1999,0.0241324
HXB2,B|US|AY031812|1999,0.0241505
HXB2,B|US|AY031820|1999,0.0241265
HXB2,B|US|AY031825|1999,0.0205891
HXB2,B|US|AY031829|1999,0.022918
HXB2,B|US|AY031830|1999,0.0243413
HXB2,B|US|AY031836|1999,0.0243463
HXB2,B|US|AY031839|1999,0.0198119
HXB2,B|US|AY031847|1999,0.0237404
HXB2,B|US|AY031853|1999,0.0244412
HXB2,B|US|AY031862|1999,0.0247024
HXB2,B|US|AY031893|1999,0.0236118
HXB2,B|US|AY031905|1999,0.0216547
HXB2,B|US|AY031909|1999,0.0207905
HXB2,B|US|AY031910|1999,0.0203818
HXB2,B|US|AY031923|1999,0.0231567
HXB2,B|US|AY031924|1999,0.0248107
HXB2,B|US|AY031955|1999,0.0232742
HXB2,B|US|AY031958|1999,0.0249085
HXB2,B|US|AY031963|1999,0.0216588
HXB2,B|US|AY031981|1999,0.0227505
HXB2,B|US|AY031998|1999,0.0214284
HXB2,B|US|AY032038|1999,0.0240839
HXB2,B|US|AY032046|1999,0.0220791
HXB2,B|US|AY032071|1999,0.0233123
HXB2,B|US|AY032119|2000,0.0197328
HXB2,B|US|AY032124|2000,0.0219214
HXB2,B|US|AY032132|2000,0.0215567
HXB2,B|US|AY032137|2000,0.0228697
HXB2,B|US|AY032158|2000,0.0228027
HXB2,B|US|AY032160|2000,0.0154176
HXB2,B|US|AY032174|2000,0.0172163
HXB2,B|US|AY032193|2000,0.0207606
HXB2,B|US|AY032215|2000,0.0242197
HXB2,B|US|AY032229|2000,0.0247877
HXB2,B|US|AY032241|2000,0.023368
HXB2,B|US|AY032259|2000,0.0239634
HXB2,B|US|AY032260|2000,0.0240145
HXB2,B|US|AY032270|2000,0.0239614
HXB2,B|US|AY032310|2000,0.0222714
HXB2,B|US|AY032316|2000,0.0160745
HXB2,B|US|AY032365|2000,0.0249772
HXB2,B|US|AY032398|2000,0.0223461
HXB2,B|US|AY032404|2000,0.0239847
HXB2,B|US|AY032405|2000,0.0171566
HXB2,B|US|AY032425|2000,0.0218715
HXB2,B|US|AY032454|2000,0.0154444
HXB2,B|US|AY032513|2000,0.0248298
HXB2,B|US|AY032527|2000,0.0249268
HXB2,B|US|AY032534|2000,0.0231878
HXB2,B|US|AY032551|2000,0.0216327
HXB2,B|US|AY032553|2000,0.0205973
HXB2,B|US|AY032570|2000,0.0229966
HXB2,B|US|AY032584|2000,0.0222898
HXB2,B|US|AY032586|2000,0.0239741
HXB2,B|AU|AY064298|-,0.0249904
HXB2,B|SD|AY102490|1999,0.0183278
HXB2,B|SE|AY165198|1998,0.0233623
HXB2,B|SE|AY165222|1999,0.0240851
HXB2,B|SE|AY165232|2000,0.0237158
HXB2,B|SE|AY165234|2000,0.0246156
HXB2,B|SE|AY165237|2000,0.0249387
HXB2,B|US|AY209623|-,0.0239541
HXB2,B|BR|AY213546|2001,0.0249738
HXB2,B|IT|AY263494|-,0.0210885
HXB2,B|IT|AY263497|-,0.0215119
HXB2,B|IT|AY267782|-,0.0113432
HXB2,B|IT|AY267783|-,0.00899932
HXB2,B|IT|AY267785|-,0.015214
HXB2,B|IT|AY267801|-,0.0243544
HXB2,B|ES|AY315964|-,0.0243849
HXB2,B|ES|AY315975|-,0.0236116
HXB2,B|ES|AY315977|-,0.0204008
HXB2,B|ES|AY316015|-,0.0217373
HXB2,B|ES|AY316016|-,0.0228372
HXB2,B|ES|AY316020|-,0.0216085
HXB2,B|ES|AY316021|-,0.0229017
HXB2,B|ES|AY316022|-,0.0241927
HXB2,B|ES|AY316023|-,0.0241345
HXB2,B|ES|AY316024|-,0.02368
HXB2,B|ES|AY316045|-,0.0223453
HXB2,B|ES|AY316047|-,0.0211174
HXB2,B|ES|AY316056|-,0.0248017
HXB2,B|ES|AY316086|-,0.0235204
HXB2,B|US|AY352275|1984,0.0248081
HXB2,B|GB|AY362061|1999,0.0200355
HXB2,B|GB|AY362062|1999,0.0243676
HXB2,B|GB|AY362132|1999,0.0233498
HXB2,B|GB|AY362135|1999,0.0233398
HXB2,B|GB|AY362136|1999,0.0213688
HXB2,B|GB|AY362137|1999,0.0211471
HXB2,B|AR|AY365689|2001,0.0242655
HXB2,B|US|AY388657|-,0.0230396
HXB2,B|US|AY388692|-,0.0237788
HXB2,B|US|AY388811|-,0.0220216
HXB2,B|US|AY388816|-,0.0246614
HXB2,B|US|AY388837|-,0.0247499
HXB2,B|KR|AY392102|1991,0.0233284
HXB2,B|US|AY458750|2002,0.0158235
HXB2,B|US|AY458760|2001,0.0166885
HXB2,B|US|AY458781|1999,0.019668
HXB2,B|US|AY471887|1997,0.0230786
HXB2,B|US|AY471905|1997,0.0240518
HXB2,B|US|AY471914|1997,0.0242004
HXB2,B|US|AY471928|1997,0.0241699
HXB2,B|US|AY471982|1997,0.023093
HXB2,B|US|AY471986|1997,0.0200356
HXB2,B|US|AY471993|1997,0.0220188
HXB2,B|US|AY472009|1997,0.0240324
HXB2,B|GB|AY669890|2001,0.0236538
HXB2,B|GB|AY669931|2001,0.0236983
HXB2,B|GB|AY669951|2002,0.0247394
HXB2,B|GB|AY670038|2001,0.0248508
HXB2,B|GB|AY670062|2000,0.02475
HXB2,B|GB|AY670065|2001,0.0193015
HXB2,B|GB|AY670066|2000,0.0236483
HXB2,B|GB|AY670077|2002,0.0247437
HXB2,B|GB|AY670081|2002,0.024765
HXB2,B|CZ|AY694208|-,0.0225329
HXB2,B|CZ|AY694291|2000,0.024889
HXB2,B|BR|AY771405|1999,0.0192531
HXB2,B|BR|AY771435|1999,0.0245775
HXB2,B|BR|AY771563|1999,0.0199139
HXB2,B|ES|AY833578|-,0.0248498
HXB2,B|US|AY835754|1983,0.0189699
HXB2,B|US|AY835757|1986,0.0208538
HXB2,B|US|AY835759|1982,0.0221546
HXB2,B|US|AY835762|1984,0.0202168
HXB2,B|US|AY835770|1983,0.0189228
HXB2,B|US|AY835774|1986,0.0241146
HXB2,B|US|AY835779|1984,0.0202035
HXB2,B|IT|AY855364|-,0.0234112
HXB2,B|IT|AY855380|-,0.0212574
HXB2,B|IT|AY855546|-,0.0246027
HXB2,B|IT|AY855609|-,0.0206192
HXB2,B|IT|AY855716|-,0.0231025
HXB2,B|IT|AY855729|-,0.0207006
HXB2,B|IT|AY855775|-,0.0238985
HXB2,B|IT|AY855836|-,0.0214868
HXB2,B|US|AY859056|-,0.0239504
HXB2,B|US|AY859058|-,0.023659
HXB2,B|US|AY859060|-,0.0248216
HXB2,B|US|AY859064|-,0.0244509
HXB2,B|US|AY859072|-,0.018908
HXB2,B|US|AY859079|-,0.0200922
HXB2,B|DE|AY878668|-,0.0246482
HXB2,B|DE|AY878670|-,0.0220348
HXB2,B|BR|AY929022|-,0.0247162
HXB2,B|US|AY964532|2002,0.0239699
HXB2,B|IT|AY994325|-,0.0231817
HXB2,B|IT|AY994329|-,0.0243583
HXB2,B|IT|AY994336|-,0.0208183
HXB2,B|IT|AY995413|-,0.0221295
HXB2,B|IT|AY995471|-,0.0239443
HXB2,B|IT|AY995496|-,0.023217
HXB2,B|IT|AY995515|-,0.0227384
HXB2,B|IT|AY995555|-,0.0244184
HXB2,B|FR|BD298114|1983,0.0037289
HXB2,B|GB|D10112|1983,0.0241123
HXB2,B|FR|D86069|1983,0.00559655
HXB2,B|US|DQ009814|2001,0.0230694
HXB2,B|US|DQ009831|2001,0.018296
HXB2,B|US|DQ009835|2001,0.0204657
HXB2,B|US|DQ009840|2001,0.024235
HXB2,B|US|DQ009855|2001,0.0241062
HXB2,B|US|DQ009856|2001,0.0216834
HXB2,B|UA|DQ055202|2001,0.0231828
HXB2,B|US|DQ097739|-,0.0190626
HXB2,B|US|DQ097744|-,0.0244227
HXB2,B|MX|DQ150720|-,0.0244338
HXB2,B|BR|DQ156275|-,0.0161243
HXB2,B|BR|DQ156294|-,0.0227207
HXB2,B|ES|DQ157797|-,0.0156391
HXB2,B|US|DQ199584|-,0.0249296
HXB2,B|US|DQ199607|-,0.0237117
HXB2,B|GE|DQ205253|1998,0.0232765
HXB2,B|BR|DQ344016|2002,0.0246878
HXB2,B|IT|DQ345135|-,0.0210594
HXB2,B|IT|DQ345150|-,0.0242142
HXB2,B|IT|DQ345171|-,0.0223859
HXB2,B|IT|DQ345209|-,0.0194154
HXB2,B|IT|DQ345235|-,0.021432
HXB2,B|IT|DQ345237|-,0.0239549
HXB2,B|IT|DQ345262|-,0.0200672
HXB2,B|IT|DQ347978|-,0.0188407
HXB2,B|IT|DQ347987|-,0.0233247
HXB2,B|IT|DQ348038|-,0.0248838
HXB2,B|IT|DQ348042|-,0.0185539
HXB2,B|IT|DQ348064|-,0.0248138
HXB2,B|IT|DQ369055|-,0.0225884
HXB2,B|IT|DQ369076|-,0.0192809
HXB2,B|IT|DQ369095|-,0.0246084
HXB2,B|IT|DQ369105|-,0.0247812
HXB2,B|IT|DQ369201|-,0.0221986
HXB2,B|IT|DQ369209|-,0.0207846
HXB2,B|IT|DQ369213|-,0.0248365
HXB2,B|IT|DQ369215|-,0.0199594
HXB2,B|IT|DQ369228|-,0.0237787
HXB2,B|IT|DQ370202|-,0.0243405
HXB2,B|IT|DQ370206|-,0.0234496
HXB2,B|IT|DQ370271|-,0.0246397
HXB2,B|IT|DQ370273|-,0.0216465
HXB2,B|IT|DQ370286|-,0.0228636
HXB2,B|IT|DQ370287|-,0.0239637
HXB2,B|IT|DQ370294|-,0.0211682
HXB2,B|IT|DQ370306|-,0.0245167
HXB2,B|US|DQ372141|1997,0.0233066
HXB2,B|MX|DQ631420|2005,0.0243294
HXB2,B|TW|DQ640275|1991,0.023715
HXB2,B|US|DQ832134|2005,0.0245665
HXB2,B|IE|DQ877830|2003,0.0215597
HXB2,B|ES|DQ878929|2003,0.0222668
HXB2,B|ES|DQ878976|2003,0.0243632
HXB2,B|CZ|DQ974925|-,0.0248273
HXB2,B|CZ|DQ974931|-,0.0242795
HXB2,B|DK|EF114265|-,0.016817
HXB2,B|US|EF136726|2000,0.0245212
HXB2,B|US|EF136738|2000,0.0209708
HXB2,B|US|EF136845|2000,0.0221521
HXB2,B|US|EF136853|2000,0.0214709
HXB2,B|CL|EF193951|-,0.0237272
HXB2,B|US|EF195320|2004,0.0249545
HXB2,B|US|EF195324|2004,0.0217951
HXB2,B|US|EF363124|2004,0.0176355
HXB2,B|CA|EF368604|-,0.0184144
HXB2,B|CA|EF368606|-,0.0238956
HXB2,B|CA|EF368629|-,0.0216616
HXB2,B|CA|EF368653|-,0.018614
HXB2,B|CA|EF368703|-,0.0249663
HXB2,B|CA|EF368712|-,0.0227086
HXB2,B|CA|EF368735|-,0.0239657
HXB2,B|CA|EF368760|-,0.0222686
HXB2,B|CA|EF368779|-,0.0192104
HXB2,B|CA|EF368828|-,0.0241852
HXB2,B|CA|EF368852|-,0.0237577
HXB2,B|CA|EF368861|-,0.0225526
HXB2,B|CA|EF368874|-,0.0214306
HXB2,B|CA|EF368892|-,0.0213237
HXB2,B|CA|EF368929|-,0.024178
HXB2,B|CA|EF368935|-,0.0249339
HXB2,B|CA|EF368979|-,0.0229491
HXB2,B|CA|EF368994|-,0.0238808
HXB2,B|CA|EF369048|-,0.0215621
HXB2,B|CA|EF369049|-,0.0216693
HXB2,B|CA|EF369055|-,0.0233074
HXB2,B|CA|EF369061|-,0.0236025
HXB2,B|CA|EF369068|-,0.0249695
HXB2,B|CA|EF369096|-,0.02422
HXB2,B|CA|EF369172|-,0.02481
HXB2,B|US|EF374511|1994,0.0199375
HXB2,B|US|EF374729|1994,0.0243139
HXB2,B|US|EF375050|1994,0.0199686
HXB2,B|US|EF375139|1994,0.0240461
HXB2,B|ES|EF397453|-,0.0201666
HXB2,B|CH|EF449782|2003,0.0212846
HXB2,B|CH|EF449868|2002,0.0196663
HXB2,B|CH|EF449886|2001,0.0235102
HXB2,B|CH|EF449907|2002,0.0182908
HXB2,B|CH|EF449911|2002,0.0213715
HXB2,B|US|EF525496|1986,0.0200339
HXB2,B|US|EF525505|1987,0.0183467
HXB2,B|US|EF525513|1984,0.0194252
HXB2,B|US|EF525517|1987,0.0228498
HXB2,B|US|EF525521|1988,0.0193867
HXB2,B|IT|EF526181|-,0.014986
HXB2,B|US|EF548340|-,0.0221646
HXB2,B|US|EF548349|-,0.0217604
HXB2,B|US|EF548360|-,0.024817
HXB2,B|US|EF548504|-,0.0163772
HXB2,B|US|EF548505|-,0.0222357
HXB2,B|US|EF548515|-,0.0213847
HXB2,B|US|EF548958|-,0.024349
HXB2,B|US|EF548959|-,0.0247571
HXB2,B|US|EF548982|-,0.0238274
HXB2,B|US|EF549326|-,0.024499
HXB2,B|US|EF549327|-,0.022866
HXB2,B|US|EF549328|-,0.0237902
HXB2,B|US|EF549332|-,0.0237907
HXB2,B|DE|EF563177|-,0.0221924
HXB2,B|CH|EF563207|-,0.0203888
HXB2,B|DK|EF563226|-,0.0236475
HXB2,B|DK|EF563229|-,0.0224488
HXB2,B|CH|EF563748|-,0.0249427
HXB2,B|ES|EF583295|2006,0.0232136
HXB2,B|GB|EU236454|-,0.0235363
HXB2,B|BE|EU248302|2003,0.0247598
HXB2,B|ES|EU255316|2005,0.0223671
HXB2,B|ES|EU255414|2006,0.0235448
HXB2,B|ES|EU255458|2006,0.0233817
HXB2,B|ES|EU255558|2007,0.0233255
HXB2,B|ES|EU255562|2007,0.0234532
HXB2,B|BR|EU293492|2006,0.0249412
HXB2,B|RU|EU345856|1999,0.0235022
HXB2,B|RU|EU345928|-,0.0249851
HXB2,B|HT|EU439726|2005,0.0245062
HXB2,B|-|EU606375|2002,0.0216322
HXB2,B|-|EU606380|2002,0.0224937
HXB2,B|-|EU606384|2002,0.0221847
HXB2,B|-|EU606396|2002,0.0212773
HXB2,B|-|EU606404|2002,0.0191097
HXB2,B|-|EU606406|2002,0.0182659
HXB2,B|-|EU606430|2002,0.0238582
HXB2,B|-|EU606434|2002,0.0240705
HXB2,B|-|EU606438|2002,0.0206062
HXB2,B|-|EU606442|2002,0.0220143
HXB2,B|-|EU606469|2002,0.018006
HXB2,B|-|EU606475|2002,0.0243827
HXB2,B|-|EU606476|2002,0.0232325
HXB2,B|-|EU606484|2002,0.0243685
HXB2,B|-|EU606493|2002,0.0235366
HXB2,B|-|EU606494|2002,0.0239436
HXB2,B|-|EU606496|2002,0.0243417
HXB2,B|-|EU606500|2002,0.0241539
HXB2,B|-|EU606506|2002,0.0247331
HXB2,B|-|EU606508|2002,0.0222441
HXB2,B|-|EU606527|2002,0.0209094
HXB2,B|-|EU606529|2002,0.0219985
HXB2,B|-|EU606530|2002,0.0191776
HXB2,B|-|EU606534|2002,0.0190705
HXB2,B|-|EU606546|2002,0.0197566
HXB2,B|-|EU606559|2002,0.0138441
HXB2,B|-|EU606571|2002,0.0240608
HXB2,B|-|EU606579|2002,0.0234037
HXB2,B|-|EU606580|2002,0.0182063
HXB2,B|-|EU606585|2002,0.0155397
HXB2,B|-|EU606603|2002,0.0234566
HXB2,B|-|EU606625|2002,0.0246114
HXB2,B|-|EU606632|2002,0.0244817
HXB2,B|-|EU606651|2002,0.0216506
HXB2,B|-|EU606658|2002,0.0196279
HXB2,B|-|EU606661|2002,0.0235395
HXB2,B|-|EU606664|2002,0.0237751
HXB2,B|-|EU606673|2002,0.0236094
HXB2,B|-|EU606720|2002,0.0217588
